,entity,year,source,production_percent,consumption_percent,renewable,cp_ratio,production_relative_to_source,consumption_relative_to_source,cp_ratio_relative_to_source,date
7052,France,2002,nuclear,78.89012824484819,38.944,False,0.4936485827368799,0.9961118857453352,0.9960684356177882,1.323513988867639,2002-01-01
7053,France,2003,nuclear,78.55159947571137,38.673,False,0.49232606666345385,0.9957770985373081,0.9956581605513344,1.320396767737902,2003-01-01
7054,France,2004,nuclear,78.81709089660794,38.735,False,0.49145432239832954,0.9960398263819983,0.995752438773801,1.3183372756038831,2004-01-01
7055,France,2005,nuclear,79.04783251432872,38.987,False,0.4932077042458181,0.9962671595035999,0.9961331050882708,1.322475786511348,2005-01-01
7056,France,2006,nuclear,79.0595698987368,38.952,False,0.4926917772243328,0.9962786986113047,0.9960804759989628,1.3212596308437776,2006-01-01
7057,France,2007,nuclear,77.99267039878022,38.491,False,0.4935207347458895,0.9952198928516648,0.9953799730948527,1.3232130253940606,2007-01-01
7058,France,2008,nuclear,77.2515802244266,38.121,False,0.49346563383238484,0.9944723886498187,0.9948077337398312,1.3230832888367892,2008-01-01
7059,France,2009,nuclear,77.20494275112063,37.408,False,0.48452856341839623,0.9944250112182477,0.9936789639942342,1.3018397435258364,2009-01-01
7060,France,2010,nuclear,75.9329751264606,37.763,False,0.49732016870284074,0.9931171772724924,0.9942453333750156,1.3321226999975893,2010-01-01
7061,France,2011,nuclear,77.9119077293341,40.308,False,0.51735352367484,0.9951389158728327,0.9980645234010618,1.3779465435720963,2011-01-01
7062,France,2012,nuclear,75.03036751204371,38.579,False,0.5141784757192798,0.9921703314355507,0.9955147496056004,1.370810991133652,2012-01-01
7063,France,2013,nuclear,73.52977871229017,37.866,False,0.514975030023732,0.9905603124282533,0.9944080327084883,1.372605576923238,2013-01-01
7064,France,2014,nuclear,77.11515429064906,40.512,False,0.5253442124658041,0.994333685003662,0.9983535662966573,1.3956983867879222,2014-01-01
7065,France,2015,nuclear,76.2245627193459,40.145,False,0.5266675014956976,0.9934196889403227,0.9978318435721529,1.3986099837964623,2015-01-01
7066,France,2016,nuclear,72.15730429946684,37.394,False,0.5182288939842823,0.9890468875075827,0.9936564481113898,1.3799055854390214,2016-01-01
7067,France,2017,nuclear,71.63742457802724,36.96,False,0.5159314452984459,0.9884630392991034,0.992951546006308,1.374756400804208,2017-01-01
7068,France,2018,nuclear,71.69497897250214,37.511,False,0.5232026082940474,0.988527967380176,0.9938441937678487,1.3909693989374605,2018-01-01
7069,France,2019,nuclear,70.61287750404492,36.788,False,0.5209814597612549,0.987294856476081,0.9926684254447776,1.3860426151117051,2019-01-01
7070,Germany,1985,nuclear,26.53243616683316,9.002,False,0.33928282888900113,0.8902222068023878,0.8578050379165483,0.8913801178191273,1985-01-01
7071,Germany,1986,nuclear,24.923551781372417,8.543,False,0.34276816061123927,0.8826998304780308,0.8504489341195048,0.9028958025846312,1986-01-01
7072,Germany,1987,nuclear,26.61792270331792,9.201,False,0.3456693485270771,0.8906043665930631,0.8608207233453624,0.9124099779313127,1987-01-01
7073,Germany,1988,nuclear,28.53908701127587,10.149,False,0.3556175429154444,0.8987727576732499,0.8739327727790839,0.9445492484689767,1988-01-01
7074,Germany,1989,nuclear,28.876370176807956,10.575,False,0.36621638852979194,0.9001291247318115,0.8792324098876004,0.977983964142581,1989-01-01
7075,Germany,1990,nuclear,27.73231496635752,10.135,False,0.36545813114754094,0.8954371702303947,0.8737528387160682,0.9756190782651739,1990-01-01
7076,Germany,1991,nuclear,27.28507909711193,10.04,False,0.3679666811397557,0.8935301653345654,0.8725217432917814,0.9834271138502865,1991-01-01
7077,Germany,1992,nuclear,29.50764049065186,11.039,False,0.37410649636649873,0.9026101882057269,0.8846441976397519,1.0023488869541122,1992-01-01
7078,Germany,1993,nuclear,29.120614359593105,10.718,False,0.36805542175895767,0.9010978306196938,0.8809386081993815,0.9837025005318085,1993-01-01
7079,Germany,1994,nuclear,28.610938915645413,10.659,False,0.37254981500000006,0.8990635456242725,0.8802389122603149,0.9975766732870692,1994-01-01
7080,Germany,1995,nuclear,28.70603050178737,10.808,False,0.3765062536015575,0.8994468476523063,0.8819946175941674,1.0096724264110761,1995-01-01
7081,Germany,1996,nuclear,29.242277022955875,10.972,False,0.37521017913162924,0.9015762067565762,0.8838845498517227,1.0057220816762473,1996-01-01
7082,Germany,1997,nuclear,30.83842092684728,11.717,False,0.37994811821896585,0.9076091651853168,0.8919508657426257,1.02010639178879,1997-01-01
7083,Germany,1998,nuclear,29.00126880551024,11.205,False,0.38636240625,0.9006258899581617,0.8864960812361447,1.0393342329282924,1998-01-01
7084,Germany,1999,nuclear,30.559714974447296,11.957,False,0.3912667382532175,0.9065870850141086,0.8943826446730652,1.053848007259052,1999-01-01
7085,Germany,2000,nuclear,29.653460153162968,11.854,False,0.3997509882075465,0.903172945710095,0.8933483493462818,1.0785794365278718,2000-01-01
7086,Germany,2001,nuclear,29.43298969072165,11.689,False,0.397139404553415,0.9023206090374957,0.8916621320222491,1.0710170356768394,2001-01-01
7087,Germany,2002,nuclear,28.321017356934185,11.325,False,0.39987970266990286,0.8978840298470624,0.8878086567774034,1.0789510095382346,2002-01-01
7088,Germany,2003,nuclear,27.329912266181093,11.279,False,0.4126979951544519,0.8937232600771053,0.887308049763157,1.1154232213980133,2003-01-01
7089,Germany,2004,nuclear,27.308383722830527,11.354,False,0.41576975463794136,0.8936305917016201,0.888122647013115,1.1240094525335775,2004-01-01
7090,Germany,2005,nuclear,26.43957826439578,11.145,False,0.4215271472392638,0.8898051788069207,0.8858316331089288,1.1399456721481538,2005-01-01
7091,Germany,2006,nuclear,26.420454545454547,11.096,False,0.41997763440860214,0.8897190444395546,0.885284896687333,1.1356766731892232,2006-01-01
